brand,model,year,mileage,fuel,power_ps,price
Jaguar,XJ 2.7D,2009,105983,Diesel,207,16999
Subaru,Forester 2.0X,2010,272126,Benzin,150,3980
Dacia,Spring Electric,2025,7942,Elektro,65,14990
Ford,B-Max B-MAX,2016,35175,Benzin,140,9300
Hyundai,SANTA FE,2007,299999,Diesel,150,2799
Opel,Astra J,2015,68363,Benzin,140,8490
Opel,Meriva 1.4,2009,136480,Benzin,90,780
Audi,A6 Av.,2018,145400,Diesel,190,21990
BMW,520 520,2014,181893,Diesel,190,15400
Mercedes-Benz,GLC 300,2020,197029,Benzin,320,225501
Mercedes-Benz,E 320,2008,295000,Diesel,223,6889
Mercedes-Benz,GLB 200,2022,178121,Diesel,150,199501
Opel,Zafira C,2017,99330,Benzin,120,9990
Ford,Focus Lim.,2007,118000,Benzin,101,3299
BMW,318 318,2017,100000,Benzin,136,15990
BMW,318 d,2015,240530,Diesel,143,6980
Kia,Stonic 1.0T,2020,59400,Benzin,101,12990
Audi,A4 35,2022,69823,Benzin,150,215801
Maxus,Euniq 5,2022,950,Elektro,177,229901
MG,MG5 51,2022,19388,Elektro,177,157501
Land,Rover Discovery,2018,113695,Diesel,150,14590
Honda,Civic 1.0,2017,80784,Benzin,129,13640
Hyundai,TUCSON Tucson,2019,84990,Benzin,132,14990
Audi,A6 Avant,2019,156790,Diesel,286,25885
Skoda,Kamiq Essence,2024,14000,Benzin,95,174801
Volvo,V40 Momentum,2019,163000,Diesel,120,10950
Volkswagen,"T-Cross Style,ACC,DSG,Kamera,ToterW,LED,Spurh",2023,16000,Benzin,110,20590
Opel,Astra H,2007,137839,Benzin,90,2490
Audi,A6 allroad,2018,120664,Diesel,218,19950
Suzuki,Ignis Comfort,2021,33000,Benzin,83,12890
SEAT,"Tarraco 2,0""Xcellence""4Drive""7Sitze""Panorama""",2019,150000,Diesel,190,20980
Kia,XCeed 1.0,2022,45777,Benzin,120,159901
Volkswagen,T-Roc 1.0,2021,21720,Benzin,110,182021
Alpina,B5 Bmw,2020,79424,Benzin,621,89875
Mercedes-Benz,S 500,2000,214300,Benzin,306,3450
BMW,318 i,2021,27000,Benzin,156,24980
Fiat,Panda 1.2,2008,25453,Benzin,60,5850
Volkswagen,T-Cross Life*PDC*Telefon*Klima*Alu*Sitzhzg.,2019,97000,Benzin,95,13495
Hyundai,TUCSON 1.6,2025,5,Benzin,239,309991
Mercedes-Benz,C 180,2027,209361,Benzin,143,3500
Peugeot,5008 Active,2015,194000,Diesel,150,5500
Volkswagen,Golf V,2009,117000,Diesel,105,6890
BMW,320 d,2013,186800,Diesel,184,11990
Ford,Focus Trend,2014,143735,Diesel,116,5800
Opel,Insignia Lim.,2012,208350,Diesel,160,4000
Ford,Focus Trend,2014,143735,Diesel,116,5800
Mercedes-Benz,C 200,2014,78000,Benzin,184,13990
Hyundai,TUCSON TUCSON,2016,134562,Benzin,132,12480
Mercedes-Benz,Citan 109,2014,155677,Diesel,90,7600
SEAT,"Arona 1,0",2020,74352,Benzin,116,14890
Opel,Zafira Tourer,2012,209735,Diesel,165,4999
Volkswagen,T-Roc 1.5,2019,54900,Benzin,150,18950
Mercedes-Benz,Vito 122,2011,215700,Diesel,224,99001
Dacia,Sandero STEPWAY,2024,28887,,91,135901
Peugeot,Expert Kasten,2011,198565,Diesel,120,2999
Peugeot,Traveller Active,,0,Diesel,179,320601
Mercedes-Benz,E 400,2018,166970,Diesel,340,259501
Audi,A6 3.0,2013,198000,Diesel,245,13900
Citroen,Jumper L2H2,2015,197256,Diesel,150,6950
Mercedes-Benz,A 180,2004,216049,Diesel,109,2500
Audi,A3 Sportback,2006,272270,Diesel,105,3490
Volkswagen,ID.3 Pure,2022,31120,Elektro,150,189501
Audi,A5 Sportback,2022,48870,Benzin,204,364451
Dacia,Spring ELECTRIC,2023,9197,Elektro,45,114001
Skoda,Octavia 2.0,2012,200000,Diesel,140,4999
Dacia,Spring ELECTRIC,2023,9197,Elektro,45,114001
Volkswagen,Passat 2.0,2020,96785,Diesel,150,185901
Opel,Astra J,2013,68201,Benzin,140,9990
Peugeot,208 Allure,2021,94000,Benzin,101,13690
Renault,Clio VI,2026,10,Benzin,158,283901
Citroen,Berlingo Selection,2015,103000,Diesel,120,8790
Mercedes-Benz,C 200,2015,130711,Benzin,184,14989
Hyundai,i10 1.2,2019,69000,Benzin,87,10980
Skoda,Octavia Kombi,2007,283706,Diesel,140,2399
BMW,X1 sDrive,2019,111400,Benzin,140,16400
Volkswagen,Crafter Kasten,2008,200000,Diesel,136,69801
Hyundai,IONIQ Ioniq,2018,70630,Elektro,120,11790
Citroen,C3 ë,,,Elektro,113,175901
Kia,Picanto Spirit*AUTOMATIK*TEMPOMAT*CAM*PDC*SHZ*,2015,85196,Benzin,86,7999
Mercedes-Benz,CLS 350,2006,229800,Benzin,272,6800
BMW,116 i,2014,124500,Benzin,136,8450
Opel,Corsa C,2027,202705,Benzin,80,1390
BMW,116 i,2011,155000,Benzin,122,4990
Opel,Crossland 1.2,2017,79500,Benzin,110,11990
SEAT,Arona Start,,0,Benzin,95,162501
Skoda,Kamiq 1.0,2025,14908,Benzin,116,219401
Volkswagen,"Jetta 1,6",2006,159159,Benzin,102,2999
BMW,X6 xDrive,2016,187000,Benzin,449,21488
Infiniti,Q70 M30d,2011,135000,Diesel,238,11950
Opel,Astra K,2017,94100,Benzin,125,9990
Nissan,X-Trail 2.0,2017,126000,Diesel,177,13790
Mercedes-Benz,C 220,2016,182000,Diesel,170,16450
Ford,Kuga 1.5,2017,35910,Benzin,150,14450
BMW,520 d,2022,161000,Diesel,190,22980
Opel,Zafira Life,2021,177179,Diesel,144,175501
Hyundai,IONIQ Hybrid,2017,63215,Benzin,141,13990
Lada,Niva Urban,2018,94999,Benzin,83,9480
Volvo,V70 Kombi,2016,195697,Diesel,150,8900
Opel,Mokka-E 136,2022,30529,Elektro,136,139801
Audi,A1 S,2014,111848,Benzin,86,8980
Maserati,Ghibli S,2020,31489,Benzin,424,39900
