brand,model,year,mileage,fuel,transmission,power_ps,price
Mazda,6 2.2,2014,227300,Diesel,,175,5990
Land,Rover Discovery,2015,147000,Diesel,,179,12490
Opel,Corsa Edition,2020,107507,Benzin,,101,9480
Fiat,Freemont Urban/7,2012,165600,Diesel,,140,7699
Mercedes-Benz,GLC 300,2020,197029,Benzin,,320,225501
Toyota,Aygo X-Play,2018,29915,Benzin,,72,11490
Opel,Astra J,2013,68201,Benzin,,140,9990
Audi,A3 Audi,2022,140950,Benzin,,150,175001
Mercedes-Benz,A 180,2004,216049,Diesel,,109,2500
Nissan,Murano 3.5,2008,169800,,,234,4450
Land,Rover Discovery,2018,113695,Diesel,Automatik,150,14590
BMW,X1 xDrive,2015,96000,Diesel,,143,12999
Mercedes-Benz,E 220,2015,127000,Diesel,,170,18900
Mercedes-Benz,CLA 220,2020,230000,Diesel,,190,21900
SEAT,"Tarraco 2,0""Xcellence""4Drive""7Sitze""Panorama""",2019,150000,Diesel,,190,20980
Ford,C-Max Trend,2027,203014,Diesel,Automatik,109,1699
Volkswagen,Polo Polo,2012,27350,Benzin,,86,9990
Hyundai,iX35 Classic,2015,283689,Diesel,,116,5480
Ford,Ranger XLT,2017,97802,Diesel,,160,19950
Volkswagen,Golf Comfort.,2010,113400,Benzin,,122,7500
Mercedes-Benz,B 180,2011,229338,Diesel,,109,5290
Kia,Ceed /,2021,67200,Benzin,,140,149001
Dacia,Sandero STEPWAY,2024,28887,,,91,135901
Hyundai,i20 FIFA,2010,130000,Benzin,,77,2990
Fiat,Grande Punto,2027,113000,Benzin,,69,3980
SEAT,"Arona 1,0",2020,74352,Benzin,,116,14890
Toyota,Yaris 1.5,2021,65500,Benzin,,92,15480
Mercedes-Benz,CLA 200,2017,94100,Diesel,,136,17810
Volkswagen,Golf Sportsvan,2015,185790,Diesel,,110,8990
BMW,X1 18i,2012,88781,Benzin,Automatik,150,12899
Skoda,Superb Lim.,2015,92264,Benzin,,179,13990
BMW,116 i,2011,155000,Benzin,,122,4990
Nissan,Pixo Acenta,2010,31891,Benzin,Automatik,68,5890
Peugeot,207 CC,2007,189000,Benzin,,120,2600
Nissan,Qashqai N-Connecta,2025,5,Benzin,,158,269701
Renault,Twingo Life,2016,176144,Benzin,,69,3000
Volkswagen,Tiguan R-Line,2017,203000,Diesel,,239,17990
SEAT,Leon Style,2019,100000,,,131,99701
BMW,320 d,2013,186800,Diesel,,184,11990
SEAT,Leon 1.5,2022,1,Benzin,,150,209701
BMW,530 i,2003,233000,Benzin,,231,4990
Ford,Edge *Edge*Titanium*4x4*Vollausstattung*Euro6*,2016,170000,Diesel,,209,13900
Mitsubishi,Eclipse Cross,2022,29736,Benzin,,188,189901
BMW,116 i,2014,124500,Benzin,,136,8450
Kia,Sorento 2.2,2018,130431,Diesel,,200,17990
Nissan,Pixo Acenta,2009,191000,Benzin,,68,1500
Volkswagen,Crafter Kasten,2008,200000,Diesel,,136,69801
Mercedes-Benz,C 180,2010,119000,Benzin,,156,8880
Audi,Q5 35,2023,37100,Diesel,,163,339501
Dacia,Duster TCe,2025,5,Benzin,,131,239901
Skoda,Yeti 1.2,2017,82417,Benzin,,110,12350
Fiat,500 by,2009,165000,Benzin,,101,4900
SEAT,Ibiza SC,2008,104000,Benzin,,86,2999
Ford,Kuga 1.5,2022,57948,Benzin,,150,168501
Kia,XCeed 1.0,2022,45777,Benzin,,120,159901
Dacia,Sandero Comfort,2019,8075,Benzin,,73,8950
Mercedes-Benz,B 180,2010,140000,Benzin,Automatik,116,6990
Audi,A4 A4,2008,149900,Benzin,,256,6700
BMW,220 Gran,2018,149987,Benzin,,192,12900
Citroen,Jumper L2H2,2015,197256,Diesel,,150,6950
Mercedes-Benz,C 200,2014,78000,Benzin,,184,13990
